x,y,z
0.30444106,-0.57882655,0.062418643
0.1416237,-0.12928958,0.05520947
-0.13871832,0.06452177,0.14486681
0.30204615,-0.019851236,-0.07337274
0.79941547,0.2566959,1.5117338e-12
0.15201592,-0.39797407,0.09182341
-0.20114107,-0.6933443,0.27734807
0.28663513,0.51081085,-0.037301313
-0.31261158,-0.65470374,-0.024179723
-2.224675e-05,0.12662849,0.13228633
0.05918888,1.2482654,-0.3536113
-1.5802566,-0.88596874,-0.28017825
-0.66799027,0.12302134,-0.5924379
0.38302547,-0.04377551,1.09886364e-10
0.09666726,-0.27479514,0.02826105
2.5031423e-17,-1.2935542,0.34527284
-0.3836279,-0.6094567,-0.5413266
0.05187405,0.6467006,0.15895757
1.3122311,0.83726174,-0.21516986
1.389267,-0.953065,6.8412858e-18
2.5077506e-17,1.2953504,0.49681625
0.16911252,-0.11790455,0.025233587
1.1806023,0.21674708,2.764033e-18
0.4413049,0.7562503,3.4493683e-17
0.21917422,-0.6712377,-0.016102187
0.080774695,-0.6944721,-0.6864144
1.1655586e-17,0.6587933,1.0670341
-0.668907,0.0697137,-0.60350955
-0.5639441,0.92472625,-0.107739136
-0.8496842,-1.1934614,0.07000612
0.8240522,-0.6773344,2.794583e-17
0.096566066,-0.4299895,0.119735464
-0.42826313,-0.5829569,-0.6137493
1.1864647,-0.15268908,2.4774787e-17
0.56462806,0.67202353,-0.078550786
-0.8761548,-0.31233153,-1.087633
0.68321264,-0.6408585,-3.5160826e-18
-0.67736214,0.04546926,-0.26531988
-0.87426376,-0.35354242,-0.7170637
-1.2346923,0.52503175,0.41862175
-0.0007401436,-1.6990038,2.3361595
0.92611915,-0.02845044,-4.5151445e-17
-0.7031091,-0.6458039,-0.061227027
-0.026392031,-0.3564034,0.026242362
-0.38941965,-0.002745004,0.21037945
0.30175713,-0.030749902,-0.7025052
0.091955535,-0.41076374,0.14348987
0.27639598,-0.035455026,-0.8789309
0.09419195,1.2503253,-0.80460036
0.046435047,0.22189294,0.00044479006
0.10085677,-0.07350264,0.14466438
0.043238714,0.112520695,-0.16763166
0.11279432,-0.64095783,0.06470099
0.22164871,-0.3178705,-0.26560932
-0.7761442,-0.8568687,0.35340375
-2.4250269e-17,1.2535338,0.4453547
0.72508305,-1.3370265,-3.2031986e-18
0.05509366,-0.19857632,0.06038667
0.124836996,-0.34696543,0.039814077
-0.8199336,-0.4401664,-0.6349638
-1.5562652e-18,-0.27990308,0.60601217
0.12639943,1.3392435,1.728073e-17
0.71547985,-0.7000859,1.2005583e-17
-0.71010816,-0.25980222,-0.40189058
0.034250267,-0.45183152,0.022702351
0.22147204,1.2698387,-0.36386046
0.045593467,-0.50273746,0.05385143
7.969127e-18,0.035041034,0.4108857
-1.9595694e-18,-0.77879614,1.2596829
-0.28522494,-0.67987794,0.4494266
1.4085901,-0.80412567,-1.6078804e-18
-0.6632322,0.08351853,-0.58725214
1.244019,-0.27934408,-4.039297e-17
-8.59336e-18,-0.81633914,1.0735333
0.037090294,0.42634624,-0.0119258715
-0.68751645,-0.28402787,-1.0647361
-0.6577741,0.40757325,-0.10667923
1.2851521e-17,0.74972385,1.2447602
0.04494555,-0.20494384,0.0074612307
1.941584e-05,0.022853183,0.15085001
